DATE,recession,recession_6,recession_9,recession_12
8/1/1965,0,0,0,0
9/1/1965,0,0,0,0
10/1/1965,0,0,0,0
11/1/1965,0,0,0,0
12/1/1965,0,0,0,0
1/1/1966,0,0,0,0
2/1/1966,0,0,0,0
3/1/1966,0,0,0,0
4/1/1966,0,0,0,0
5/1/1966,0,0,0,0
6/1/1966,0,0,0,0
7/1/1966,0,0,0,0
8/1/1966,0,0,0,0
9/1/1966,0,0,0,0
10/1/1966,0,0,0,0
11/1/1966,0,0,0,0
12/1/1966,0,0,0,0
1/1/1967,0,0,0,0
2/1/1967,0,0,0,0
3/1/1967,0,0,0,0
4/1/1967,0,0,0,0
5/1/1967,0,0,0,0
6/1/1967,0,0,0,0
7/1/1967,0,0,0,0
8/1/1967,0,0,0,0
9/1/1967,0,0,0,0
10/1/1967,0,0,0,0
11/1/1967,0,0,0,0
12/1/1967,0,0,0,0
1/1/1968,0,0,0,0
2/1/1968,0,0,0,0
3/1/1968,0,0,0,0
4/1/1968,0,0,0,0
5/1/1968,0,0,0,0
6/1/1968,0,0,0,0
7/1/1968,0,0,0,0
8/1/1968,0,0,0,0
9/1/1968,0,0,0,0
10/1/1968,0,0,0,0
11/1/1968,0,0,0,0
12/1/1968,0,0,0,0
1/1/1969,0,0,0,0
2/1/1969,0,0,0,0
3/1/1969,0,0,0,0
4/1/1969,0,0,0,0
5/1/1969,0,0,0,0
6/1/1969,0,0,0,0
7/1/1969,0,0,0,0
8/1/1969,0,0,0,0
9/1/1969,0,0,0,0
10/1/1969,0,0,0,0
11/1/1969,0,0,0,0
12/1/1969,0,0,0,0
1/1/1970,1,0,0,0
2/1/1970,1,0,0,0
3/1/1970,1,0,0,0
4/1/1970,1,0,0,0
5/1/1970,1,0,0,0
6/1/1970,1,0,0,0
7/1/1970,1,1,0,0
8/1/1970,1,1,0,0
9/1/1970,1,1,0,0
10/1/1970,1,1,1,0
11/1/1970,1,1,1,0
12/1/1970,0,1,1,0
1/1/1971,0,1,1,1
2/1/1971,0,1,1,1
3/1/1971,0,1,1,1
4/1/1971,0,1,1,1
5/1/1971,0,1,1,1
6/1/1971,0,0,1,1
7/1/1971,0,0,1,1
8/1/1971,0,0,1,1
9/1/1971,0,0,0,1
10/1/1971,0,0,0,1
11/1/1971,0,0,0,1
12/1/1971,0,0,0,0
1/1/1972,0,0,0,0
2/1/1972,0,0,0,0
3/1/1972,0,0,0,0
4/1/1972,0,0,0,0
5/1/1972,0,0,0,0
6/1/1972,0,0,0,0
7/1/1972,0,0,0,0
8/1/1972,0,0,0,0
9/1/1972,0,0,0,0
10/1/1972,0,0,0,0
11/1/1972,0,0,0,0
12/1/1972,0,0,0,0
1/1/1973,0,0,0,0
2/1/1973,0,0,0,0
3/1/1973,0,0,0,0
4/1/1973,0,0,0,0
5/1/1973,0,0,0,0
6/1/1973,0,0,0,0
7/1/1973,0,0,0,0
8/1/1973,0,0,0,0
9/1/1973,0,0,0,0
10/1/1973,0,0,0,0
11/1/1973,0,0,0,0
12/1/1973,1,0,0,0
1/1/1974,1,0,0,0
2/1/1974,1,0,0,0
3/1/1974,1,0,0,0
4/1/1974,1,0,0,0
5/1/1974,1,0,0,0
6/1/1974,1,1,0,0
7/1/1974,1,1,0,0
8/1/1974,1,1,0,0
9/1/1974,1,1,1,0
10/1/1974,1,1,1,0
11/1/1974,1,1,1,0
12/1/1974,1,1,1,1
1/1/1975,1,1,1,1
2/1/1975,1,1,1,1
3/1/1975,1,1,1,1
4/1/1975,0,1,1,1
5/1/1975,0,1,1,1
6/1/1975,0,1,1,1
7/1/1975,0,1,1,1
8/1/1975,0,1,1,1
9/1/1975,0,1,1,1
10/1/1975,0,0,1,1
11/1/1975,0,0,1,1
12/1/1975,0,0,1,1
1/1/1976,0,0,0,1
2/1/1976,0,0,0,1
3/1/1976,0,0,0,1
4/1/1976,0,0,0,0
5/1/1976,0,0,0,0
6/1/1976,0,0,0,0
7/1/1976,0,0,0,0
8/1/1976,0,0,0,0
9/1/1976,0,0,0,0
10/1/1976,0,0,0,0
11/1/1976,0,0,0,0
12/1/1976,0,0,0,0
1/1/1977,0,0,0,0
2/1/1977,0,0,0,0
3/1/1977,0,0,0,0
4/1/1977,0,0,0,0
5/1/1977,0,0,0,0
6/1/1977,0,0,0,0
7/1/1977,0,0,0,0
8/1/1977,0,0,0,0
9/1/1977,0,0,0,0
10/1/1977,0,0,0,0
11/1/1977,0,0,0,0
12/1/1977,0,0,0,0
1/1/1978,0,0,0,0
2/1/1978,0,0,0,0
3/1/1978,0,0,0,0
4/1/1978,0,0,0,0
5/1/1978,0,0,0,0
6/1/1978,0,0,0,0
7/1/1978,0,0,0,0
8/1/1978,0,0,0,0
9/1/1978,0,0,0,0
10/1/1978,0,0,0,0
11/1/1978,0,0,0,0
12/1/1978,0,0,0,0
1/1/1979,0,0,0,0
2/1/1979,0,0,0,0
3/1/1979,0,0,0,0
4/1/1979,0,0,0,0
5/1/1979,0,0,0,0
6/1/1979,0,0,0,0
7/1/1979,0,0,0,0
8/1/1979,0,0,0,0
9/1/1979,0,0,0,0
10/1/1979,0,0,0,0
11/1/1979,0,0,0,0
12/1/1979,0,0,0,0
1/1/1980,0,0,0,0
2/1/1980,1,0,0,0
3/1/1980,1,0,0,0
4/1/1980,1,0,0,0
5/1/1980,1,0,0,0
6/1/1980,1,0,0,0
7/1/1980,1,0,0,0
8/1/1980,0,1,0,0
9/1/1980,0,1,0,0
10/1/1980,0,1,0,0
11/1/1980,0,1,1,0
12/1/1980,0,1,1,0
1/1/1981,0,1,1,0
2/1/1981,0,0,1,1
3/1/1981,0,0,1,1
4/1/1981,0,0,1,1
5/1/1981,0,0,0,1
6/1/1981,0,0,0,1
7/1/1981,0,0,0,1
8/1/1981,1,0,0,0
9/1/1981,1,0,0,0
10/1/1981,1,0,0,0
11/1/1981,1,0,0,0
12/1/1981,1,0,0,0
1/1/1982,1,0,0,0
2/1/1982,1,1,0,0
3/1/1982,1,1,0,0
4/1/1982,1,1,0,0
5/1/1982,1,1,1,0
6/1/1982,1,1,1,0
7/1/1982,1,1,1,0
8/1/1982,1,1,1,1
9/1/1982,1,1,1,1
10/1/1982,1,1,1,1
11/1/1982,1,1,1,1
12/1/1982,0,1,1,1
1/1/1983,0,1,1,1
2/1/1983,0,1,1,1
3/1/1983,0,1,1,1
4/1/1983,0,1,1,1
5/1/1983,0,1,1,1
6/1/1983,0,0,1,1
7/1/1983,0,0,1,1
8/1/1983,0,0,1,1
9/1/1983,0,0,0,1
10/1/1983,0,0,0,1
11/1/1983,0,0,0,1
12/1/1983,0,0,0,0
1/1/1984,0,0,0,0
2/1/1984,0,0,0,0
3/1/1984,0,0,0,0
4/1/1984,0,0,0,0
5/1/1984,0,0,0,0
6/1/1984,0,0,0,0
7/1/1984,0,0,0,0
8/1/1984,0,0,0,0
9/1/1984,0,0,0,0
10/1/1984,0,0,0,0
11/1/1984,0,0,0,0
12/1/1984,0,0,0,0
1/1/1985,0,0,0,0
2/1/1985,0,0,0,0
3/1/1985,0,0,0,0
4/1/1985,0,0,0,0
5/1/1985,0,0,0,0
6/1/1985,0,0,0,0
7/1/1985,0,0,0,0
8/1/1985,0,0,0,0
9/1/1985,0,0,0,0
10/1/1985,0,0,0,0
11/1/1985,0,0,0,0
12/1/1985,0,0,0,0
1/1/1986,0,0,0,0
2/1/1986,0,0,0,0
3/1/1986,0,0,0,0
4/1/1986,0,0,0,0
5/1/1986,0,0,0,0
6/1/1986,0,0,0,0
7/1/1986,0,0,0,0
8/1/1986,0,0,0,0
9/1/1986,0,0,0,0
10/1/1986,0,0,0,0
11/1/1986,0,0,0,0
12/1/1986,0,0,0,0
1/1/1987,0,0,0,0
2/1/1987,0,0,0,0
3/1/1987,0,0,0,0
4/1/1987,0,0,0,0
5/1/1987,0,0,0,0
6/1/1987,0,0,0,0
7/1/1987,0,0,0,0
8/1/1987,0,0,0,0
9/1/1987,0,0,0,0
10/1/1987,0,0,0,0
11/1/1987,0,0,0,0
12/1/1987,0,0,0,0
1/1/1988,0,0,0,0
2/1/1988,0,0,0,0
3/1/1988,0,0,0,0
4/1/1988,0,0,0,0
5/1/1988,0,0,0,0
6/1/1988,0,0,0,0
7/1/1988,0,0,0,0
8/1/1988,0,0,0,0
9/1/1988,0,0,0,0
10/1/1988,0,0,0,0
11/1/1988,0,0,0,0
12/1/1988,0,0,0,0
1/1/1989,0,0,0,0
2/1/1989,0,0,0,0
3/1/1989,0,0,0,0
4/1/1989,0,0,0,0
5/1/1989,0,0,0,0
6/1/1989,0,0,0,0
7/1/1989,0,0,0,0
8/1/1989,0,0,0,0
9/1/1989,0,0,0,0
10/1/1989,0,0,0,0
11/1/1989,0,0,0,0
12/1/1989,0,0,0,0
1/1/1990,0,0,0,0
2/1/1990,0,0,0,0
3/1/1990,0,0,0,0
4/1/1990,0,0,0,0
5/1/1990,0,0,0,0
6/1/1990,0,0,0,0
7/1/1990,0,0,0,0
8/1/1990,1,0,0,0
9/1/1990,1,0,0,0
10/1/1990,1,0,0,0
11/1/1990,1,0,0,0
12/1/1990,1,0,0,0
1/1/1991,1,0,0,0
2/1/1991,1,1,0,0
3/1/1991,1,1,0,0
4/1/1991,0,1,0,0
5/1/1991,0,1,1,0
6/1/1991,0,1,1,0
7/1/1991,0,1,1,0
8/1/1991,0,1,1,1
9/1/1991,0,1,1,1
10/1/1991,0,0,1,1
11/1/1991,0,0,1,1
12/1/1991,0,0,1,1
1/1/1992,0,0,0,1
2/1/1992,0,0,0,1
3/1/1992,0,0,0,1
4/1/1992,0,0,0,0
5/1/1992,0,0,0,0
6/1/1992,0,0,0,0
7/1/1992,0,0,0,0
8/1/1992,0,0,0,0
9/1/1992,0,0,0,0
10/1/1992,0,0,0,0
11/1/1992,0,0,0,0
12/1/1992,0,0,0,0
1/1/1993,0,0,0,0
2/1/1993,0,0,0,0
3/1/1993,0,0,0,0
4/1/1993,0,0,0,0
5/1/1993,0,0,0,0
6/1/1993,0,0,0,0
7/1/1993,0,0,0,0
8/1/1993,0,0,0,0
9/1/1993,0,0,0,0
10/1/1993,0,0,0,0
11/1/1993,0,0,0,0
12/1/1993,0,0,0,0
1/1/1994,0,0,0,0
2/1/1994,0,0,0,0
3/1/1994,0,0,0,0
4/1/1994,0,0,0,0
5/1/1994,0,0,0,0
6/1/1994,0,0,0,0
7/1/1994,0,0,0,0
8/1/1994,0,0,0,0
9/1/1994,0,0,0,0
10/1/1994,0,0,0,0
11/1/1994,0,0,0,0
12/1/1994,0,0,0,0
1/1/1995,0,0,0,0
2/1/1995,0,0,0,0
3/1/1995,0,0,0,0
4/1/1995,0,0,0,0
5/1/1995,0,0,0,0
6/1/1995,0,0,0,0
7/1/1995,0,0,0,0
8/1/1995,0,0,0,0
9/1/1995,0,0,0,0
10/1/1995,0,0,0,0
11/1/1995,0,0,0,0
12/1/1995,0,0,0,0
1/1/1996,0,0,0,0
2/1/1996,0,0,0,0
3/1/1996,0,0,0,0
4/1/1996,0,0,0,0
5/1/1996,0,0,0,0
6/1/1996,0,0,0,0
7/1/1996,0,0,0,0
8/1/1996,0,0,0,0
9/1/1996,0,0,0,0
10/1/1996,0,0,0,0
11/1/1996,0,0,0,0
12/1/1996,0,0,0,0
1/1/1997,0,0,0,0
2/1/1997,0,0,0,0
3/1/1997,0,0,0,0
4/1/1997,0,0,0,0
5/1/1997,0,0,0,0
6/1/1997,0,0,0,0
7/1/1997,0,0,0,0
8/1/1997,0,0,0,0
9/1/1997,0,0,0,0
10/1/1997,0,0,0,0
11/1/1997,0,0,0,0
12/1/1997,0,0,0,0
1/1/1998,0,0,0,0
2/1/1998,0,0,0,0
3/1/1998,0,0,0,0
4/1/1998,0,0,0,0
5/1/1998,0,0,0,0
6/1/1998,0,0,0,0
7/1/1998,0,0,0,0
8/1/1998,0,0,0,0
9/1/1998,0,0,0,0
10/1/1998,0,0,0,0
11/1/1998,0,0,0,0
12/1/1998,0,0,0,0
1/1/1999,0,0,0,0
2/1/1999,0,0,0,0
3/1/1999,0,0,0,0
4/1/1999,0,0,0,0
5/1/1999,0,0,0,0
6/1/1999,0,0,0,0
7/1/1999,0,0,0,0
8/1/1999,0,0,0,0
9/1/1999,0,0,0,0
10/1/1999,0,0,0,0
11/1/1999,0,0,0,0
12/1/1999,0,0,0,0
1/1/2000,0,0,0,0
2/1/2000,0,0,0,0
3/1/2000,0,0,0,0
4/1/2000,0,0,0,0
5/1/2000,0,0,0,0
6/1/2000,0,0,0,0
7/1/2000,0,0,0,0
8/1/2000,0,0,0,0
9/1/2000,0,0,0,0
10/1/2000,0,0,0,0
11/1/2000,0,0,0,0
12/1/2000,0,0,0,0
1/1/2001,0,0,0,0
2/1/2001,0,0,0,0
3/1/2001,0,0,0,0
4/1/2001,1,0,0,0
5/1/2001,1,0,0,0
6/1/2001,1,0,0,0
7/1/2001,1,0,0,0
8/1/2001,1,0,0,0
9/1/2001,1,0,0,0
10/1/2001,1,1,0,0
11/1/2001,1,1,0,0
12/1/2001,0,1,0,0
1/1/2002,0,1,1,0
2/1/2002,0,1,1,0
3/1/2002,0,1,1,0
4/1/2002,0,1,1,1
5/1/2002,0,1,1,1
6/1/2002,0,0,1,1
7/1/2002,0,0,1,1
8/1/2002,0,0,1,1
9/1/2002,0,0,0,1
10/1/2002,0,0,0,1
11/1/2002,0,0,0,1
12/1/2002,0,0,0,0
1/1/2003,0,0,0,0
2/1/2003,0,0,0,0
3/1/2003,0,0,0,0
4/1/2003,0,0,0,0
5/1/2003,0,0,0,0
6/1/2003,0,0,0,0
7/1/2003,0,0,0,0
8/1/2003,0,0,0,0
9/1/2003,0,0,0,0
10/1/2003,0,0,0,0
11/1/2003,0,0,0,0
12/1/2003,0,0,0,0
1/1/2004,0,0,0,0
2/1/2004,0,0,0,0
3/1/2004,0,0,0,0
4/1/2004,0,0,0,0
5/1/2004,0,0,0,0
6/1/2004,0,0,0,0
7/1/2004,0,0,0,0
8/1/2004,0,0,0,0
9/1/2004,0,0,0,0
10/1/2004,0,0,0,0
11/1/2004,0,0,0,0
12/1/2004,0,0,0,0
1/1/2005,0,0,0,0
2/1/2005,0,0,0,0
3/1/2005,0,0,0,0
4/1/2005,0,0,0,0
5/1/2005,0,0,0,0
6/1/2005,0,0,0,0
7/1/2005,0,0,0,0
8/1/2005,0,0,0,0
9/1/2005,0,0,0,0
10/1/2005,0,0,0,0
11/1/2005,0,0,0,0
12/1/2005,0,0,0,0
1/1/2006,0,0,0,0
2/1/2006,0,0,0,0
3/1/2006,0,0,0,0
4/1/2006,0,0,0,0
5/1/2006,0,0,0,0
6/1/2006,0,0,0,0
7/1/2006,0,0,0,0
8/1/2006,0,0,0,0
9/1/2006,0,0,0,0
10/1/2006,0,0,0,0
11/1/2006,0,0,0,0
12/1/2006,0,0,0,0
1/1/2007,0,0,0,0
2/1/2007,0,0,0,0
3/1/2007,0,0,0,0
4/1/2007,0,0,0,0
5/1/2007,0,0,0,0
6/1/2007,0,0,0,0
7/1/2007,0,0,0,0
8/1/2007,0,0,0,0
9/1/2007,0,0,0,0
10/1/2007,0,0,0,0
11/1/2007,0,0,0,0
12/1/2007,0,0,0,0
1/1/2008,1,0,0,0
2/1/2008,1,0,0,0
3/1/2008,1,0,0,0
4/1/2008,1,0,0,0
5/1/2008,1,0,0,0
6/1/2008,1,0,0,0
7/1/2008,1,1,0,0
8/1/2008,1,1,0,0
9/1/2008,1,1,0,0
10/1/2008,1,1,1,0
11/1/2008,1,1,1,0
12/1/2008,1,1,1,0
1/1/2009,1,1,1,1
2/1/2009,1,1,1,1
3/1/2009,1,1,1,1
4/1/2009,1,1,1,1
5/1/2009,1,1,1,1
6/1/2009,1,1,1,1
7/1/2009,0,1,1,1
8/1/2009,0,1,1,1
9/1/2009,0,1,1,1
10/1/2009,0,1,1,1
11/1/2009,0,1,1,1
12/1/2009,0,1,1,1
1/1/2010,0,0,1,1
2/1/2010,0,0,1,1
3/1/2010,0,0,1,1
4/1/2010,0,0,0,1
5/1/2010,0,0,0,1
6/1/2010,0,0,0,1
7/1/2010,0,0,0,0
8/1/2010,0,0,0,0
9/1/2010,0,0,0,0
10/1/2010,0,0,0,0
11/1/2010,0,0,0,0
12/1/2010,0,0,0,0
1/1/2011,0,0,0,0
2/1/2011,0,0,0,0
3/1/2011,0,0,0,0
4/1/2011,0,0,0,0
5/1/2011,0,0,0,0
6/1/2011,0,0,0,0
7/1/2011,0,0,0,0
8/1/2011,0,0,0,0
9/1/2011,0,0,0,0
10/1/2011,0,0,0,0
11/1/2011,0,0,0,0
12/1/2011,0,0,0,0
1/1/2012,0,0,0,0
2/1/2012,0,0,0,0
3/1/2012,0,0,0,0
4/1/2012,0,0,0,0
5/1/2012,0,0,0,0
6/1/2012,0,0,0,0
7/1/2012,0,0,0,0
8/1/2012,0,0,0,0
9/1/2012,0,0,0,0
10/1/2012,0,0,0,0
11/1/2012,0,0,0,0
12/1/2012,0,0,0,0
1/1/2013,0,0,0,0
2/1/2013,0,0,0,0
3/1/2013,0,0,0,0
4/1/2013,0,0,0,0
5/1/2013,0,0,0,0
6/1/2013,0,0,0,0
7/1/2013,0,0,0,0
8/1/2013,0,0,0,0
9/1/2013,0,0,0,0
10/1/2013,0,0,0,0
11/1/2013,0,0,0,0
12/1/2013,0,0,0,0
1/1/2014,0,0,0,0
2/1/2014,0,0,0,0
3/1/2014,0,0,0,0
4/1/2014,0,0,0,0
5/1/2014,0,0,0,0
6/1/2014,0,0,0,0
7/1/2014,0,0,0,0
8/1/2014,0,0,0,0
9/1/2014,0,0,0,0
10/1/2014,0,0,0,0
11/1/2014,0,0,0,0
12/1/2014,0,0,0,0
1/1/2015,0,0,0,0
2/1/2015,0,0,0,0
3/1/2015,0,0,0,0
4/1/2015,0,0,0,0
5/1/2015,0,0,0,0
6/1/2015,0,0,0,0
7/1/2015,0,0,0,0
8/1/2015,0,0,0,0
9/1/2015,0,0,0,0
10/1/2015,0,0,0,0
11/1/2015,0,0,0,0
12/1/2015,0,0,0,0
1/1/2016,0,0,0,0
2/1/2016,0,0,0,0
3/1/2016,0,0,0,0
4/1/2016,0,0,0,0
5/1/2016,0,0,0,0
6/1/2016,0,0,0,0
7/1/2016,0,0,0,0
8/1/2016,0,0,0,0
9/1/2016,0,0,0,0
10/1/2016,0,0,0,0
11/1/2016,0,0,0,0
12/1/2016,0,0,0,0
1/1/2017,0,0,0,0
2/1/2017,0,0,0,0
3/1/2017,0,0,0,0
4/1/2017,0,0,0,0
5/1/2017,0,0,0,0
6/1/2017,0,0,0,0
7/1/2017,0,0,0,0
8/1/2017,0,0,0,0
9/1/2017,0,0,0,0
10/1/2017,0,0,0,0
11/1/2017,0,0,0,0
12/1/2017,0,0,0,0
1/1/2018,0,0,0,0
2/1/2018,0,0,0,0
3/1/2018,0,0,0,0
4/1/2018,0,0,0,0
5/1/2018,0,0,0,0
6/1/2018,0,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,,0,0
,,,0,0
,,,0,0
,,,,0
,,,,0
,,,,0
